playerid,Name,BABIP_2016
7550,Jake McGee,0.33799999999999997
12760,Rafael Montero,0.358
13594,Robert Stephenson,0.299
10039,Keyvius Sampson,0.287
14470,Jose Valdez,0.22399999999999998
13143,Henry Owens,0.321
10133,Brad Boxberger,0.294
6865,Jeff Manship,0.266
10481,Shawn Tolleson,0.37200000000000005
7161,Chris Withrow,0.226
9325,Jared Hughes,0.295
14371,Jake Thompson,0.264
2413,Cory Rasmus,0.276
3281,Joe Smith,0.26899999999999996
8223,Brett Anderson,0.429
739,Kyle Lohse,0.306
3299,Chris Hatcher,0.29600000000000004
8501,Danny Farquhar,0.294
13427,Pat Light,0.33299999999999996
15451,Mike Mayers,0.5
12800,Noe Ramirez,0.375
10855,Chasen Shreve,0.247
7466,Anthony Swarzak,0.24
10314,Erasmo Ramirez,0.28
16684,Zac Curtis,0.282
2141,Chris Narveson,0.26899999999999996
12982,Andrew Faulkner,0.20800000000000002
2332,Joel Peralta,0.309
4257,David Huff,0.391
7396,Dillon Gee,0.309
15232,Cody Reed,0.36200000000000004
15100,Ben Heller,0.32
10337,Edwin Escobar,0.36700000000000005
5508,Dana Eveland,0.397
7416,Mark Lowe,0.319
16877,Greg Mahle,0.33899999999999997
15158,Braden Shipley,0.3
10946,Josh Smith,0.264
14168,Jose Berrios,0.344
13763,Dominic Leone,0.43200000000000005
11387,A.J. Achter,0.28600000000000003
9149,Tim Melville,0.355
10185,Jacob Turner,0.34600000000000003
9029,Adam Warren,0.261
2540,Eric Surkamp,0.33299999999999996
10387,Brooks Pounders,0.361
11752,Luke Jackson,0.38299999999999995
10234,Bryan Morris,0.239
1701,Chris Capuano,0.28600000000000003
11571,Jose Dominguez,0.266
7960,Frank Herrmann,0.31
15051,Silvino Bracho,0.293
9654,Michael Blazek,0.349
12905,Logan Verrett,0.303
8258,Huston Street,0.35100000000000003
14934,Aaron Blair,0.304
12790,Raul Alcantara,0.306
1663,Javier Lopez,0.253
7677,Neil Ramirez,0.24600000000000002
