RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,year,Player,pos
244.0,"Joey Dorsey, PF",HOU,69.0,12.4,-2.42,1.03,-1.39,0.53,2015,Joey Dorsey, PF
245.0,"Channing Frye, PF",ORL,75.0,24.9,-1.28,-0.12,-1.4,1.11,2015,Channing Frye, PF
246.0,"Eric Gordon, SG",NO,61.0,33.1,0.48,-1.88,-1.4,1.17,2015,Eric Gordon, SG
247.0,"Brandon Bass, PF",BOS,82.0,23.5,-1.21,-0.21,-1.42,1.13,2015,Brandon Bass, PF
249.0,"Marreese Speights, C",GS,76.0,15.9,0.02,-1.47,-1.45,0.72,2015,Marreese Speights, C
253.0,"Nerlens Noel, PF",PHI,75.0,30.8,-4.85,3.35,-1.5,1.24,2015,Nerlens Noel, PF
259.0,"Corey Brewer, SF",HOU/MIN,80.0,26.1,-0.31,-1.24,-1.55,1.1,2015,Corey Brewer, SF
265.0,"Devin Harris, PG",DAL,76.0,22.2,0.24,-1.84,-1.6,0.79,2015,Devin Harris, PG
266.0,"Andre Miller, PG",SAC/WSH,81.0,15.5,0.51,-2.13,-1.62,0.55,2015,Andre Miller, PG
269.0,"Glen Davis, PF",LAC,74.0,12.2,-3.76,2.12,-1.64,0.4,2015,Glen Davis, PF
270.0,"Quincy Pondexter, SG",NO/MEM,75.0,23.9,-1.1,-0.54,-1.64,0.77,2015,Quincy Pondexter, SG
272.0,"Andrew Wiggins, SG",MIN,82.0,36.2,0.47,-2.13,-1.66,1.28,2015,Andrew Wiggins, SG
273.0,"Leandro Barbosa, SG",GS,66.0,14.9,0.13,-1.82,-1.69,0.42,2015,Leandro Barbosa, SG
274.0,"Spencer Hawes, PF",LAC,73.0,17.5,-2.6,0.91,-1.69,0.52,2015,Spencer Hawes, PF
275.0,"Ryan Anderson, PF",NO,61.0,27.5,2.05,-3.75,-1.7,0.66,2015,Ryan Anderson, PF
277.0,"Justin Holiday, SG",GS,59.0,11.1,-1.48,-0.23,-1.71,0.27,2015,Justin Holiday, SG
279.0,"Miles Plumlee, C",MIL/PHX,73.0,16.4,-2.01,0.28,-1.73,0.46,2015,Miles Plumlee, C
282.0,"Omri Casspi, SF",SAC,67.0,21.1,-0.02,-1.74,-1.76,0.54,2015,Omri Casspi, SF
283.0,"Dante Exum, PG",UTAH,82.0,22.2,-1.64,-0.13,-1.77,0.62,2015,Dante Exum, PG
284.0,"Jason Thompson, PF",SAC,81.0,24.6,-2.08,0.27,-1.81,0.67,2015,Jason Thompson, PF
286.0,"Nikola Vucevic, C",ORL,74.0,34.2,-1.48,-0.37,-1.85,0.79,2015,Nikola Vucevic, C
291.0,"Caron Butler, SF",DET,78.0,20.8,-1.69,-0.23,-1.92,0.42,2015,Caron Butler, SF
294.0,"Tarik Black, C",HOU/LAL,63.0,19.0,-1.67,-0.28,-1.95,0.29,2015,Tarik Black, C
296.0,"Terrence Ross, SF",TOR,82.0,25.5,1.76,-3.77,-2.01,0.43,2015,Terrence Ross, SF
297.0,"Beno Udrih, PG",MEM,79.0,18.9,0.24,-2.28,-2.04,0.28,2015,Beno Udrih, PG
298.0,"Wilson Chandler, SF",DEN,78.0,31.7,-0.64,-1.4,-2.04,0.49,2015,Wilson Chandler, SF
299.0,"Solomon Hill, SF",IND,82.0,29.0,-0.68,-1.36,-2.04,0.45,2015,Solomon Hill, SF
308.0,"Mike Scott, PF",ATL,68.0,16.5,-0.8,-1.44,-2.24,0.08,2015,Mike Scott, PF
309.0,"Michael Carter-Williams, PG",MIL/PHI,66.0,32.6,-3.05,0.78,-2.27,0.11,2015,Michael Carter-Williams, PG
310.0,"Jamal Crawford, SG",LAC,64.0,26.6,2.1,-4.38,-2.28,0.08,2015,Jamal Crawford, SG
311.0,"Shawne Williams, SF",DET/MIA,63.0,17.3,-0.64,-1.67,-2.31,0.03,2015,Shawne Williams, SF
313.0,"Brandon Knight, PG",MIL/PHX,63.0,32.3,-0.51,-1.85,-2.36,-0.01,2015,Brandon Knight, PG
315.0,"Jordan Clarkson, PG",LAL,59.0,25.0,0.64,-3.0,-2.36,-0.01,2015,Jordan Clarkson, PG
325.0,"Tobias Harris, SF",ORL,68.0,34.8,-0.32,-2.21,-2.53,-0.26,2015,Tobias Harris, SF
326.0,"Kyle Singler, SF",DET/OKC,80.0,21.8,-1.25,-1.29,-2.54,-0.21,2015,Kyle Singler, SF
328.0,"Joe Ingles, SF",UTAH,79.0,21.2,-2.31,-0.28,-2.59,-0.24,2015,Joe Ingles, SF
333.0,"Quincy Acy, SF",NY,68.0,18.9,-3.85,1.17,-2.68,-0.26,2015,Quincy Acy, SF
335.0,"Kris Humphries, PF",WSH,64.0,21.0,-2.46,-0.24,-2.7,-0.28,2015,Kris Humphries, PF
336.0,"Trey Burke, PG",UTAH,76.0,30.1,-0.18,-2.52,-2.7,-0.48,2015,Trey Burke, PG
340.0,"Enes Kanter, C",OKC/UTAH,75.0,28.5,1.15,-3.87,-2.72,-0.49,2015,Enes Kanter, C
342.0,"Rasual Butler, SF",WSH,75.0,20.1,-0.98,-1.77,-2.75,-0.37,2015,Rasual Butler, SF
343.0,"Greivis Vasquez, PG",TOR,82.0,24.3,-0.57,-2.21,-2.78,-0.52,2015,Greivis Vasquez, PG
347.0,"Ramon Sessions, PG",SAC/WSH,64.0,18.6,-2.5,-0.31,-2.81,-0.34,2015,Ramon Sessions, PG
348.0,"John Henson, PF",MIL,67.0,18.3,-4.13,1.32,-2.81,-0.35,2015,John Henson, PF
349.0,"Hollis Thompson, SG",PHI,71.0,25.0,-1.01,-1.8,-2.81,-0.52,2015,Hollis Thompson, SG
358.0,"Jameer Nelson, PG",BOS/DAL/DEN,63.0,22.3,-0.37,-2.49,-2.86,-0.45,2015,Jameer Nelson, PG
359.0,"Jerryd Bayless, PG",MIL,77.0,22.3,-2.36,-0.53,-2.89,-0.57,2015,Jerryd Bayless, PG
363.0,"Arron Afflalo, SG",DEN/POR,78.0,32.1,-1.07,-1.86,-2.93,-0.91,2015,Arron Afflalo, SG
365.0,"Jon Leuer, PF",MEM,63.0,13.1,-3.69,0.7,-2.99,-0.33,2015,Jon Leuer, PF
366.0,"Brian Roberts, PG",CHA,72.0,18.5,-0.64,-2.36,-3.0,-0.53,2015,Brian Roberts, PG
368.0,"Gerald Green, SF",PHX,74.0,19.5,0.29,-3.33,-3.04,-0.63,2015,Gerald Green, SF
371.0,"Charlie Villanueva, PF",DAL,64.0,10.6,-0.65,-2.4,-3.05,-0.31,2015,Charlie Villanueva, PF
