game_id,season,home_points,away_points,variable,value,points
4929,2004,87.0,81.0,away_team,Golden State Warriors,81.0
4930,2004,96.0,75.0,away_team,Seattle SuperSonics,75.0
4931,2004,90.0,94.0,away_team,Indiana Pacers,94.0
4932,2004,117.0,94.0,away_team,Utah Jazz,94.0
4933,2004,101.0,81.0,away_team,Orlando Magic,81.0
4934,2004,86.0,94.0,away_team,Minnesota Timberwolves,94.0
4935,2004,101.0,116.0,away_team,Atlanta Hawks,116.0
4936,2004,74.0,66.0,away_team,Toronto Raptors,66.0
4937,2004,74.0,92.0,away_team,Minnesota Timberwolves,92.0
4938,2004,106.0,103.0,away_team,Denver Nuggets,103.0
4939,2004,90.0,80.0,away_team,New Jersey Nets,80.0
4940,2004,103.0,95.0,away_team,Memphis Grizzlies,95.0
4941,2004,106.0,91.0,away_team,Cleveland Cavaliers,91.0
4942,2004,89.0,80.0,away_team,Boston Celtics,80.0
4943,2004,80.0,83.0,away_team,Washington Wizards,83.0
4944,2004,101.0,96.0,away_team,Sacramento Kings,96.0
4945,2004,84.0,74.0,away_team,Portland Trail Blazers,74.0
4946,2004,110.0,99.0,away_team,Boston Celtics,99.0
4947,2004,91.0,80.0,away_team,Miami Heat,80.0
4948,2004,110.0,100.0,away_team,Portland Trail Blazers,100.0
4949,2004,87.0,92.0,away_team,New Orleans Hornets,92.0
4950,2004,89.0,101.0,away_team,Detroit Pistons,101.0
4951,2004,119.0,99.0,away_team,Dallas Mavericks,99.0
4952,2004,82.0,69.0,away_team,Houston Rockets,69.0
4953,2004,98.0,102.0,away_team,New York Knicks,102.0
4954,2004,108.0,107.0,away_team,Dallas Mavericks,107.0
4955,2004,79.0,88.0,away_team,San Antonio Spurs,88.0
4956,2004,89.0,75.0,away_team,Philadelphia 76ers,75.0
4957,2004,89.0,83.0,away_team,Memphis Grizzlies,83.0
4958,2004,102.0,85.0,away_team,Los Angeles Lakers,85.0
4959,2004,108.0,114.0,away_team,Chicago Bulls,114.0
4960,2004,129.0,107.0,away_team,New Jersey Nets,107.0
4961,2004,77.0,84.0,away_team,Miami Heat,84.0
4962,2004,84.0,93.0,away_team,Orlando Magic,93.0
4963,2004,93.0,89.0,away_team,Milwaukee Bucks,89.0
4964,2004,97.0,89.0,away_team,Sacramento Kings,89.0
4965,2004,101.0,79.0,away_team,Washington Wizards,79.0
4966,2004,104.0,90.0,away_team,Utah Jazz,90.0
