away_team,away_points,home_team,home_points,away_rest,home_rest
Philadelphia 76ers,86,Cleveland Cavaliers,108,1.0,2.0
New Orleans Pelicans,130,Denver Nuggets,125,1.0,1.0
Portland Trail Blazers,109,Miami Heat,116,1.0,1.0
Atlanta Hawks,103,Orlando Magic,100,1.0,1.0
Milwaukee Bucks,101,Phoenix Suns,95,1.0,1.0
Sacramento Kings,104,Toronto Raptors,94,1.0,1.0
Portland Trail Blazers,97,Atlanta Hawks,106,0.0,0.0
Minnesota Timberwolves,99,Boston Celtics,113,0.0,2.0
Brooklyn Nets,105,Chicago Bulls,102,0.0,1.0
Charlotte Hornets,95,Houston Rockets,102,1.0,1.0
Oklahoma City Thunder,100,Los Angeles Clippers,99,1.0,1.0
Orlando Magic,107,New York Knicks,99,0.0,1.0
Indiana Pacers,92,San Antonio Spurs,106,1.0,2.0
Phoenix Suns,89,Utah Jazz,110,0.0,2.0
Sacramento Kings,99,Washington Wizards,113,0.0,1.0
Los Angeles Lakers,111,Denver Nuggets,107,2.0,1.0
Detroit Pistons,93,Miami Heat,92,3.0,1.0
Memphis Grizzlies,104,Philadelphia 76ers,90,2.0,1.0
Dallas Mavericks,99,Toronto Raptors,103,3.0,1.0
Detroit Pistons,100,Atlanta Hawks,107,0.0,1.0
Dallas Mavericks,119,Brooklyn Nets,118,0.0,1.0
Boston Celtics,102,Charlotte Hornets,89,1.0,1.0
New York Knicks,84,Cleveland Cavaliers,91,1.0,2.0
Utah Jazz,85,Golden State Warriors,103,1.0,4.0
Sacramento Kings,108,Indiana Pacers,106,1.0,1.0
Oklahoma City Thunder,120,Los Angeles Lakers,85,1.0,0.0
Philadelphia 76ers,100,Milwaukee Bucks,113,0.0,2.0
San Antonio Spurs,108,Minnesota Timberwolves,83,1.0,1.0
Portland Trail Blazers,89,New Orleans Pelicans,115,1.0,2.0
Houston Rockets,101,Orlando Magic,104,1.0,1.0
Denver Nuggets,104,Phoenix Suns,96,0.0,1.0
Memphis Grizzlies,91,Washington Wizards,100,0.0,1.0
Cleveland Cavaliers,83,Golden State Warriors,89,1.0,1.0
San Antonio Spurs,84,Houston Rockets,88,1.0,1.0
Los Angeles Clippers,94,Los Angeles Lakers,84,3.0,1.0
New Orleans Pelicans,88,Miami Heat,94,1.0,2.0
Chicago Bulls,105,Oklahoma City Thunder,96,3.0,1.0
New York Knicks,98,Atlanta Hawks,117,2.0,2.0
Washington Wizards,111,Brooklyn Nets,96,2.0,2.0
Memphis Grizzlies,92,Charlotte Hornets,98,2.0,2.0
Chicago Bulls,111,Dallas Mavericks,118,0.0,2.0
Boston Celtics,99,Detroit Pistons,93,2.0,2.0
Toronto Raptors,111,Milwaukee Bucks,90,3.0,2.0
