playerID,yearID,InnOuts,PO,A,E,playerID_2,yearID_2,InnOuts_2,PO_2,A_2,E_2
betanyu01,2007,3906.0,239.0,435.0,23.0,betanyu01,2008,3975.0,237.0,401.0,21.0
betanyu01,2008,3975.0,237.0,401.0,21.0,betanyu01,2009,3477.0,212.0,340.0,18.0
betanyu01,2009,3477.0,212.0,340.0,18.0,betanyu01,2010,3996.0,256.0,418.0,18.0
betanyu01,2010,3996.0,256.0,418.0,18.0,betanyu01,2011,3837.0,167.0,418.0,21.0
bordimi01,1996,4014.0,265.0,476.0,16.0,bordimi01,1997,4006.0,223.0,424.0,13.0
bordimi01,1997,4006.0,223.0,424.0,13.0,bordimi01,1998,3715.0,236.0,446.0,7.0
bordimi01,1998,3715.0,236.0,446.0,7.0,bordimi01,1999,4065.0,277.0,511.0,9.0
bordimi01,1999,4065.0,277.0,511.0,9.0,bordimi01,2000,3972.0,232.0,398.0,16.0
cabreas01,2011,3981.0,216.0,386.0,15.0,cabreas01,2012,3483.0,223.0,408.0,19.0
cabreas01,2012,3483.0,223.0,408.0,19.0,cabreas01,2013,3300.0,180.0,314.0,9.0
cabreor01,2000,2964.0,167.0,339.0,10.0,cabreor01,2001,4221.0,246.0,514.0,11.0
cabreor01,2001,4221.0,246.0,514.0,11.0,cabreor01,2002,4056.0,237.0,498.0,29.0
cabreor01,2002,4056.0,237.0,498.0,29.0,cabreor01,2003,4158.0,258.0,456.0,18.0
cabreor01,2003,4158.0,258.0,456.0,18.0,cabreor01,2004,4077.0,225.0,437.0,15.0
cabreor01,2004,4077.0,225.0,437.0,15.0,cabreor01,2005,3723.0,229.0,347.0,7.0
cabreor01,2005,3723.0,229.0,347.0,7.0,cabreor01,2006,3963.0,252.0,377.0,16.0
cabreor01,2006,3963.0,252.0,377.0,16.0,cabreor01,2007,3993.0,239.0,415.0,11.0
cabreor01,2007,3993.0,239.0,415.0,11.0,cabreor01,2008,4170.0,242.0,472.0,16.0
